epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.8281,1.39934,1.83511,1.16768,0.3596,0.26921,0.2338,0.14265,1.41478,1.35927,1.15466,0.000207071,0.000207071,0.000207071
2,126.317,1.27798,1.1273,1.10308,0.42559,0.4389,0.33958,0.21859,1.37224,1.15374,1.16993,0.000407179,0.000407179,0.000407179
3,186.363,1.25692,1.0267,1.09657,0.50831,0.42774,0.35586,0.22985,1.37861,1.16553,1.16571,0.000599037,0.000599037,0.000599037
4,246.672,1.23787,0.95465,1.09071,0.44642,0.46447,0.40567,0.27265,1.35697,1.16256,1.15279,0.000587875,0.000587875,0.000587875
5,307.2,1.22202,0.90189,1.08316,0.39238,0.49835,0.39525,0.26525,1.33761,1.17349,1.14384,0.0005755,0.0005755,0.0005755
6,367.49,1.20426,0.87188,1.08034,0.44669,0.50042,0.39736,0.26639,1.3335,1.1725,1.14333,0.000563125,0.000563125,0.000563125
7,427.791,1.19325,0.8316,1.0762,0.42944,0.48405,0.3908,0.26445,1.32218,1.16605,1.14534,0.00055075,0.00055075,0.00055075
8,487.601,1.18192,0.80788,1.0664,0.44258,0.55443,0.42324,0.28801,1.31998,1.11872,1.1383,0.000538375,0.000538375,0.000538375
9,548.099,1.17492,0.77681,1.06594,0.44715,0.56789,0.42675,0.29136,1.328,1.15004,1.14298,0.000526,0.000526,0.000526
10,608.031,1.15673,0.7592,1.05719,0.4749,0.57276,0.43289,0.29247,1.31711,1.11675,1.13859,0.000513625,0.000513625,0.000513625
11,667.918,1.14584,0.74515,1.05457,0.47865,0.53795,0.42534,0.29398,1.31509,1.1819,1.14134,0.00050125,0.00050125,0.00050125
12,728.346,1.15165,0.73019,1.05461,0.44808,0.5588,0.40894,0.28152,1.30021,1.14241,1.13131,0.000488875,0.000488875,0.000488875
13,788.63,1.12033,0.70338,1.04538,0.48604,0.51348,0.41376,0.28557,1.29626,1.1626,1.14579,0.0004765,0.0004765,0.0004765
14,849.844,1.11601,0.69227,1.03787,0.47707,0.55054,0.40794,0.28379,1.2926,1.15788,1.13404,0.000464125,0.000464125,0.000464125
15,909.951,1.11272,0.69726,1.0405,0.4809,0.58996,0.44259,0.30446,1.30138,1.12104,1.12985,0.00045175,0.00045175,0.00045175
16,970.963,1.11216,0.69002,1.04138,0.48295,0.56015,0.42574,0.29322,1.28795,1.16541,1.12608,0.000439375,0.000439375,0.000439375
17,1030.85,1.09987,0.66917,1.03522,0.49712,0.57252,0.45775,0.31891,1.29228,1.11201,1.13016,0.000427,0.000427,0.000427
18,1092.09,1.10352,0.66891,1.03375,0.48325,0.57463,0.42674,0.29534,1.27888,1.18345,1.13177,0.000414625,0.000414625,0.000414625
19,1152.93,1.08345,0.64368,1.02639,0.49297,0.61568,0.46165,0.32179,1.28117,1.10869,1.11608,0.00040225,0.00040225,0.00040225
20,1213.71,1.08548,0.65025,1.02738,0.50013,0.5965,0.4545,0.3185,1.29048,1.14929,1.1191,0.000389875,0.000389875,0.000389875
21,1274.06,1.08438,0.64051,1.02936,0.47765,0.6201,0.45994,0.32488,1.27594,1.15319,1.11245,0.0003775,0.0003775,0.0003775
22,1335.27,1.06347,0.62218,1.01862,0.49964,0.57739,0.44515,0.31257,1.27762,1.15839,1.11375,0.000365125,0.000365125,0.000365125
23,1397.34,1.0645,0.62091,1.01863,0.49081,0.59544,0.44127,0.31066,1.27144,1.14437,1.12752,0.00035275,0.00035275,0.00035275
24,1459.2,1.05302,0.61561,1.01589,0.49778,0.58086,0.43282,0.30661,1.26349,1.16403,1.12574,0.000340375,0.000340375,0.000340375
25,1520.17,1.05535,0.60863,1.01632,0.49767,0.58956,0.44861,0.31501,1.28979,1.10692,1.11904,0.000328,0.000328,0.000328
26,1580.82,1.05135,0.60208,1.01501,0.5057,0.57549,0.44153,0.31396,1.27348,1.17068,1.12675,0.000315625,0.000315625,0.000315625
